"TRAVEL_REASON_1","CountOfTRAVEL_REASON_1","TRAVEL_REASON_SHORT"
,0,"other"
"Feldarbeit/Exkursion",203,"field work, excursion"
"Konferenz",241,"conference, workshop"
"Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",72,"teaching"
"Projektaquisition/Fundraising",5,"project meeting"
"Projektmeeting",178,"project meeting"
"Prüfungsabnahme",8,"examination"
"Unbekannt",11,"other"
"Weiteres",27,"other"
"Workshop",103,"conference, workshop"
