"year","total_travels_oneway","total_distance_km","total_emission_kgco2eq","head_count"
2017,440.00,1809641.00,416897.00,248.00
2018,470.00,2058603.00,482379.00,244.00
2019,455.00,2276431.00,548934.00,250.00
2020,86.00,465534.00,121535.00,193.00
