RecID,year,fn_code,fn_number,cabin_class,DEPARTURE_AIRPORT,ARRIVAL_AIRPORT,Anzahl Flugsegmente,currencies,IATA_CODE_DEP,IATA_CODE_ARR,EMISSIONS_KGCO2EQ
218,2020,LX,1954,economy,ZRH,BCN,1,USD,ZRH,BCN,300
219,2020,LX,1955,economy,BCN,ZRH,1,USD,BCN,ZRH,300
220,2020,LX,1955,economy,BCN,ZRH,1,USD,BCN,ZRH,300
221,2020,LX,3046,economy,LHR,DEN,1,USD,MISSING,MISSING,1400
222,2020,LX,3057,economy,DEN,LHR,2,USD,MISSING,MISSING,1400
223,2020,LX,3338,economy,ORD,DEN,1,USD,MISSING,MISSING,400
224,2020,NK,425,economy,DEN,ORD,1,USD,ORD,FLL,400
225,2020,SK,605,economy,ARN,ZRH,1,USD,ARN,ZRH,400
226,2020,SK,1606,economy,ZRH,ARN,1,USD,ZRH,ARN,400
227,2020,AA,40,economy,ORD,BCN,1,USD,BOS,ORD,1400
228,2020,AA,93,economy,ZRH,PHL,1,USD,ZRH,PHL,1200
229,2020,AA,324,economy,PHL,PHX,1,USD,DCA,ORD,700
230,2020,AA,883,economy,PHX,ORD,1,USD,PHL,CLT,500
231,2020,AC,898,economy,YYZ,VIE,1,USD,MISSING,MISSING,1300
232,2020,LH,446,economy,FRA,DEN,1,USD,FRA,DEN,1600
233,2020,LH,1187,economy,ZRH,FRA,1,USD,ZRH,FRA,200
234,2020,LX,1577,economy,VIE,ZRH,1,USD,VIE,ZRH,200
235,2020,UA,3629,economy,DEN,YYZ,1,USD,MISSING,MISSING,500
236,2020,LH,447,economy,DEN,FRA,1,USD,DEN,FRA,1600
237,2020,LH,1183,economy,ZRH,FRA,1,USD,ZRH,FRA,200
238,2020,LH,5774,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
239,2020,LH,7586,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
240,2020,LX,978,economy,ZRH,TXL,1,USD,ZRH,TXL,200
241,2020,LX,979,economy,TXL,ZRH,1,USD,TXL,ZRH,200
242,2020,UA,52,economy,IAD,ZRH,1,USD,IAD,ZRH,1300
243,2020,UA,53,economy,ZRH,IAD,1,USD,ZRH,IAD,1300
244,2020,LX,253,economy,TLV,ZRH,1,USD,MISSING,MISSING,600
245,2020,LX,256,economy,ZRH,TLV,1,USD,ZRH,TLV,600
246,2020,LX,380,economy,ZRH,MAN,1,USD,ZRH,MAN,300
247,2020,LX,395,economy,MAN,ZRH,1,USD,MISSING,MISSING,300
248,2020,LX,420,economy,ZRH,BHX,1,USD,ZRH,BHX,300
249,2020,LX,425,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
250,2020,LX,38,economy,ZRH,SFO,2,USD,ZRH,SFO,1800
251,2020,LX,39,economy,SFO,ZRH,2,USD,SFO,ZRH,1800
252,2020,LH,215,economy,DRS,FRA,1,USD,DRS,FRA,200
253,2020,LH,1196,economy,FRA,ZRH,1,USD,FRA,ZRH,200
254,2020,LX,914,economy,ZRH,DRS,1,USD,ZRH,DRS,200
255,2020,AA,92,business,PHL,ZRH,1,USD,PHL,ZRH,2400
256,2020,AA,93,business,ZRH,PHL,1,USD,ZRH,PHL,2400
257,2020,AC,878,first,YYZ,ZRH,1,USD,YYZ,ZRH,3700
258,2020,AC,879,premium_economy,ZRH,YYZ,1,USD,ZRH,YYZ,1400
259,2020,LX,177,business,SIN,ZRH,1,USD,AYT,ZRH,3900
260,2020,SQ,865,premium_economy,HKG,SIN,1,USD,HKG,SIN,600
261,2020,SQ,866,premium_economy,SIN,HKG,1,USD,SIN,HKG,600
262,2020,IB,3476,economy,MAD,ZRH,1,USD,MAD,ZRH,300
263,2020,IB,3477,economy,ZRH,MAD,1,USD,ZRH,MAD,300
264,2020,IB,8834,economy,MAD,EAS,1,USD,MISSING,MISSING,200
265,2020,IB,8841,economy,EAS,MAD,1,USD,MISSING,MISSING,200
266,2020,LX,728,economy,ZRH,AMS,1,USD,ZRH,AMS,200
267,2020,LX,735,economy,AMS,ZRH,1,USD,AMS,ZRH,200
268,2020,LX,780,economy,ZRH,BRU,1,USD,ZRH,BRU,200
269,2020,LX,787,economy,BRU,ZRH,1,USD,BRU,ZRH,200
270,2020,LX,968,economy,ZRH,TXL,1,USD,ZRH,TXL,200
271,2020,LX,983,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
272,2020,LX,2064,economy,ZRH,OPO,1,USD,ZRH,OPO,400
273,2020,LX,2065,economy,OPO,ZRH,1,USD,OPO,ZRH,400
274,2020,LX,1413,economy,BEG,ZRH,1,USD,BEG,ZRH,300
275,2020,LX,1416,economy,ZRH,BEG,1,USD,ZRH,BEG,300
276,2020,,,economy,ATH,ZRH,1,USD,MISSING,MISSING,400
277,2020,,,economy,ZRH,ATH,1,USD,MISSING,MISSING,400
278,2020,A,3851,economy,ZRH,ATH,3,USD,MISSING,MISSING,400
279,2020,A,31986,economy,ATH,ZRH,1,USD,MISSING,MISSING,400
280,2020,A,37117,economy,SKG,ATH,1,USD,MISSING,MISSING,200
281,2020,A,37120,economy,ATH,SKG,3,USD,MISSING,MISSING,200
282,2020,FR,8583,economy,SKG,STN,1,USD,SKG,STN,500
283,2020,LX,780,economy,ZRH,BRU,1,USD,ZRH,BRU,200
284,2020,LX,783,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
285,2020,LX,1843,economy,ATH,ZRH,1,USD,ATH,ZRH,400
286,2020,OA,129,economy,SKG,ATH,1,USD,MISSING,MISSING,200
287,2020,U,22047,economy,LTN,ZRH,1,USD,MISSING,MISSING,300
288,2020,BA,243,economy,LHR,MEX,1,USD,LHR,MEX,1700
289,2020,LX,316,economy,ZRH,LHR,1,USD,ZRH,LHR,300
290,2020,LX,319,economy,LHR,ZRH,1,USD,LHR,ZRH,300
291,2020,,,economy,ZRH,COH,1,USD,MISSING,MISSING,1400
292,2020,LX,461,economy,LCY,ZRH,1,USD,LCY,ZRH,200
293,2020,LX,464,economy,LCY,ZRH,1,USD,MISSING,MISSING,200
294,2020,LX,2251,economy,BUD,ZRH,1,USD,BUD,ZRH,300
295,2020,LX,2258,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
296,2020,QR,93,economy,DOH,ZRH,1,USD,DOH,ZRH,900
297,2020,QR,94,economy,ZRH,DOH,1,USD,ZRH,DOH,900
298,2020,QR,95,economy,DOH,ZRH,1,USD,DOH,ZRH,900
299,2020,QR,644,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
300,2020,QR,645,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
301,2020,QR,1369,economy,DOH,CPT,1,USD,DOH,CPT,1400
302,2020,QR,1370,economy,CPT,DOH,1,USD,CPT,DOH,1400
303,2020,U,22044,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
304,2020,UA,20,economy,IAH,AMS,1,USD,IAH,AMS,1600
305,2020,UA,5941,economy,STL,IAH,1,USD,MISSING,MISSING,300
306,2020,LX,176,economy,ZRH,AYT,2,USD,ZRH,AYT,500
307,2020,LX,177,economy,AYT,ZRH,2,USD,AYT,ZRH,500
308,2020,VS,5503,economy,MISSING,MISSING,2,USD,MISSING,MISSING,MISSING
309,2020,VS,5506,economy,MISSING,MISSING,2,USD,MISSING,MISSING,MISSING
310,2020,,,economy,AMS,BGO,2,USD,MISSING,MISSING,300
311,2020,,,economy,AMS,ZRH,2,USD,MISSING,MISSING,200
312,2020,,,economy,BGO,AMS,2,USD,MISSING,MISSING,300
313,2020,,,economy,ZRH,AMS,2,USD,MISSING,MISSING,200
314,2020,,,economy,PMI,ZRH,1,USD,MISSING,MISSING,300
315,2020,,,economy,ZRH,PMI,1,USD,MISSING,MISSING,300
316,2020,DL,407,economy,ZRH,JFK,1,USD,JFK,ZRH,1200
317,2020,DL,408,economy,JFK,ZRH,1,USD,ZRH,JFK,1200
318,2020,DL,924,economy,SAN,JFK,1,USD,ATL,CAE,800
319,2020,DL,961,economy,JFK,SAN,1,USD,SNA,SLC,800
320,2020,,,economy,AEP,CNQ,1,USD,MISSING,MISSING,300
321,2020,,,economy,SCL,EZE,1,USD,MISSING,MISSING,300
322,2020,LX,317,economy,LHR,ZRH,1,USD,LHR,ZRH,300
323,2020,LX,340,economy,ZRH,LHR,1,USD,ZRH,LHR,300
324,2020,TK,567,economy,IST,JRO,1,USD,IST,JRO,1000
325,2020,TK,1914,economy,ZRH,IST,1,USD,ZRH,IST,400
326,2020,LX,86,economy,ZRH,YUL,1,USD,ZRH,YUL,1200
327,2020,LX,4641,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
328,2020,LX,4652,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
329,2020,LX,4697,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
330,2020,LH,1197,economy,FRA,FRA,1,USD,ZRH,FRA,100
331,2020,LX,288,economy,ZRH,JNB,1,USD,ZRH,JNB,1600
332,2020,LX,1069,economy,FRA,ZRH,1,USD,FRA,ZRH,200
333,2020,LX,1582,economy,ZRH,VIE,1,USD,ZRH,VIE,200
334,2020,LX,1583,economy,VIE,ZRH,1,USD,VIE,ZRH,200
335,2020,SA,260,economy,JNB,FRA,1,USD,JNB,FRA,1700
336,2020,SA,261,economy,FRA,JNB,1,USD,FRA,JNB,1700
337,2020,SA,8767,economy,JNB,UTN,1,USD,MISSING,MISSING,200
338,2020,SA,8768,economy,UTN,JNB,1,USD,MISSING,MISSING,200
339,2020,AA,92,economy,PHL,ZRH,1,USD,PHL,ZRH,1200
340,2020,FI,532,economy,KEF,MUC,1,USD,KEF,MUC,600
341,2020,FI,569,economy,ZRH,KEF,1,USD,ZRH,KEF,600
342,2020,KE,925,economy,ICN,AMS,3,USD,ICN,AMS,1700
343,2020,KL,855,business,AMS,ICN,3,USD,AMS,ICN,3200
344,2020,KL,1286,business,EDI,AMS,3,USD,EDI,AMS,300
345,2020,KL,1969,economy,AMS,ZRH,3,USD,AMS,ZRH,200
346,2020,LJ,370,economy,KPO,GMP,3,USD,MISSING,MISSING,200
347,2020,LX,1105,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
348,2020,LX,1327,economy,DME,ZRH,1,USD,DME,ZRH,500
349,2020,R,3433,economy,MISSING,MISSING,1,USD,MISSING,MISSING,MISSING
350,2020,R,3443,economy,MISSING,MISSING,5,USD,MISSING,MISSING,MISSING
351,2020,R,3443,economy,YKS,CKH,3,USD,MISSING,MISSING,300
352,2020,R,3444,economy,MISSING,MISSING,6,USD,MISSING,MISSING,MISSING
