"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
43,2020,"AC",872,"business","YYZ","FRA",1,"USD",2300,43.67720032,-79.63059998,"CA",50.033333,8.570556,"DE",6351.077152,0.362143294
44,2020,"AC",8295,"business","BOS","YYZ",1,"USD",300,42.3643,-71.005203,"US",43.67720032,-79.63059998,"CA",716.6861155,0.418593291
45,2020,"LH",1186,"business","FRA","ZRH",1,"USD",200,50.033333,8.570556,"DE",47.458056,8.548056,"CH",286.6832779,0.697633993
46,2020,"LX",55,"business","BOS","ZRH",1,"USD",2200,42.3643,-71.005203,"US",47.458056,8.548056,"CH",6016.976889,0.365632117
47,2020,"LX",1225,"business","ARN","ZRH",1,"USD",500,59.65190125,17.91860008,"SE",47.458056,8.548056,"CH",1488.811092,0.335838444
48,2020,"LX",1254,"business","ZRH","ARN",1,"USD",500,47.458056,8.548056,"CH",59.65190125,17.91860008,"SE",1488.811092,0.335838444
49,2020,"BA",981,"business","TXL","LHR",1,"USD",300,52.5597,13.2877,"DE",51.4706,-0.461941,"GB",948.3056585,0.316353696
50,2020,"BA",982,"business","LHR","TXL",1,"USD",300,51.4706,-0.461941,"GB",52.5597,13.2877,"DE",948.3056585,0.316353696
51,2020,"KL",1958,"business","ZRH","AMS",1,"USD",300,47.458056,8.548056,"CH",52.308601,4.76389,"NL",604.1411303,0.496572713
52,2020,"KL",3598,"business","AMS","MRS",1,"USD",400,52.308601,4.76389,"NL",43.43927192,5.221424103,"FR",987.9145702,0.40489331
56,2020,"AF",1615,"business","ZRH","CDG",1,"USD",200,47.458056,8.548056,"CH",49.012798,2.55,"FR",477.0600589,0.419234426
57,2020,"KL",741,"business","AMS","BOG",1,"USD",3300,52.308601,4.76389,"NL",4.70159,-74.1469,"CO",8851.025668,0.372838146
59,2020,"LH",329,"business","VCE","FRA",1,"USD",300,45.505299,12.3519,"IT",50.033333,8.570556,"DE",577.8484584,0.519167259
60,2020,"LH",1090,"business","FRA","FAO",1,"USD",700,50.033333,8.570556,"DE",37.01440048,-7.965909958,"PT",1961.524142,0.35686535
61,2020,"LX",19,"business","EWR","ZRH",1,"USD",2300,40.692501,-74.168701,"US",47.458056,8.548056,"CH",6339.626061,0.362797423
62,2020,"LX",1662,"business","ZRH","VCE",1,"USD",200,47.458056,8.548056,"CH",45.505299,12.3519,"IT",363.6190444,0.550026197
67,2020,"KL",1958,"business","ZRH","AMS",1,"USD",300,47.458056,8.548056,"CH",52.308601,4.76389,"NL",604.1411303,0.496572713
68,2020,"KL",1969,"business","AMS","ZRH",1,"USD",300,52.308601,4.76389,"NL",47.458056,8.548056,"CH",604.1411303,0.496572713
69,2020,"KL",3598,"business","AMS","MRS",1,"USD",400,52.308601,4.76389,"NL",43.43927192,5.221424103,"FR",987.9145702,0.40489331
70,2020,"KL",3601,"business","MRS","AMS",1,"USD",400,43.43927192,5.221424103,"FR",52.308601,4.76389,"NL",987.9145702,0.40489331
71,2020,"LX",980,"business","ZRH","TXL",1,"USD",300,47.458056,8.548056,"CH",52.5597,13.2877,"DE",661.1069083,0.453784397
72,2020,"LX",983,"business","TXL","ZRH",1,"USD",300,52.5597,13.2877,"DE",47.458056,8.548056,"CH",661.1069083,0.453784397
73,2020,"OS",188,"business","STR","VIE",1,"USD",300,48.68989944,9.221960068,"DE",48.110298,16.5697,"AT",546.6568262,0.548790366
74,2020,"OS",569,"business","VIE","ZRH",1,"USD",300,48.110298,16.5697,"AT",47.458056,8.548056,"CH",604.1010393,0.496605668
75,2020,"",NA,"business","CDG","DME",1,"USD",1000,49.012798,2.55,"FR",55.40879822,37.90629959,"RU",2484.250641,0.402535873
76,2020,"",NA,"business","DME","CDG",1,"USD",1000,55.40879822,37.90629959,"RU",49.012798,2.55,"FR",2484.250641,0.402535873
77,2020,"LX",1662,"business","ZRH","VCE",1,"USD",200,47.458056,8.548056,"CH",45.505299,12.3519,"IT",363.6190444,0.550026197
78,2020,"LX",1663,"business","VCE","ZRH",1,"USD",200,45.505299,12.3519,"IT",47.458056,8.548056,"CH",363.6190444,0.550026197
79,2020,"G",31028,"business","CGH","SDU",1,"USD",200,-23.62611008,-46.65638733,"BR",-22.91049957,-43.1631012,"BR",366.0041876,0.546441835
80,2020,"G",31039,"business","SDU","CGH",1,"USD",200,-22.91049957,-43.1631012,"BR",-23.62611008,-46.65638733,"BR",366.0041876,0.546441835
81,2020,"LX",93,"business","GRU","ZRH",1,"USD",3600,-23.431944,-46.467778,"BR",47.458056,8.548056,"CH",9618.573666,0.374275867
82,2020,"EW",762,"business","CGN","ZRH",1,"USD",200,50.86589813,7.142739773,"DE",47.458056,8.548056,"CH",392.8902733,0.50904798
83,2020,"EW",763,"business","ZRH","CGN",1,"USD",200,47.458056,8.548056,"CH",50.86589813,7.142739773,"DE",392.8902733,0.50904798
84,2020,"LX",326,"business","ZRH","LHR",1,"USD",300,47.458056,8.548056,"CH",51.4706,-0.461941,"GB",789.3363672,0.380066107
85,2020,"LX",327,"business","LHR","ZRH",1,"USD",300,51.4706,-0.461941,"GB",47.458056,8.548056,"CH",789.3363672,0.380066107
86,2020,"LX",1012,"business","ZRH","DUS",1,"USD",200,47.458056,8.548056,"CH",51.289501,6.76678,"DE",445.5918078,0.448841286
87,2020,"LX",1013,"business","DUS","ZRH",1,"USD",200,51.289501,6.76678,"DE",47.458056,8.548056,"CH",445.5918078,0.448841286
88,2020,"AZ",57,"business","FCO","ZRH",1,"USD",300,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.432163896
89,2020,"AZ",568,"business","FCO","GVA",1,"USD",300,41.804532,12.251998,"IT",46.23809814,6.108950138,"CH",696.2893053,0.43085539
90,2020,"AZ",571,"business","ZRH","FCO",1,"USD",300,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.432163896
91,2020,"AZ",572,"business","FCO","ZRH",1,"USD",300,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.432163896
92,2020,"AZ",575,"business","GVA","FCO",1,"USD",300,46.23809814,6.108950138,"CH",41.804532,12.251998,"IT",696.2893053,0.43085539
93,2020,"LX",17,"business","JFK","ZRH",1,"USD",2300,40.639801,-73.7789,"US",47.458056,8.548056,"CH",6316.7853,0.364109257
94,2020,"LX",1012,"business","ZRH","DUS",1,"USD",200,47.458056,8.548056,"CH",51.289501,6.76678,"DE",445.5918078,0.448841286
96,2020,"LX",1416,"business","ZRH","BEG",1,"USD",300,47.458056,8.548056,"CH",44.81840134,20.3090992,"RS",952.4838625,0.314965966
97,2020,"LX",1417,"business","BEG","ZRH",1,"USD",300,44.81840134,20.3090992,"RS",47.458056,8.548056,"CH",952.4838625,0.314965966
98,2020,"LX",1726,"business","ZRH","FCO",1,"USD",300,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.432163896
99,2020,"LX",1727,"business","FCO","ZRH",1,"USD",300,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.432163896
100,2020,"LX",1732,"business","ZRH","FCO",5,"USD",300,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.432163896
101,2020,"LX",1733,"business","FCO","ZRH",2,"USD",300,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.432163896
102,2020,"LX",1736,"business","ZRH","FCO",1,"USD",300,47.458056,8.548056,"CH",41.804532,12.251998,"IT",694.1810797,0.432163896
103,2020,"LX",1737,"business","FCO","ZRH",3,"USD",300,41.804532,12.251998,"IT",47.458056,8.548056,"CH",694.1810797,0.432163896
104,2020,"QR",95,"business","DOH","ZRH",1,"USD",1700,25.273056,51.608056,"QA",47.458056,8.548056,"CH",4499.861199,0.377789431
105,2020,"QR",96,"business","ZRH","DOH",1,"USD",1700,47.458056,8.548056,"CH",25.273056,51.608056,"QA",4499.861199,0.377789431
106,2020,"QR",1370,"business","CPT","DOH",1,"USD",2700,-33.96480179,18.60169983,"ZA",25.273056,51.608056,"QA",7460.467683,0.361907606
107,2020,"QR",1371,"business","DOH","CPT",1,"USD",2700,25.273056,51.608056,"QA",-33.96480179,18.60169983,"ZA",7460.467683,0.361907606
108,2020,"",NA,"business","AEP","REL",1,"USD",400,-34.5592,-58.4156,"AR",-43.2105,-65.2703,"AR",1130.548424,0.353810586
109,2020,"",NA,"business","REL","AEP",1,"USD",400,-43.2105,-65.2703,"AR",-34.5592,-58.4156,"AR",1130.548424,0.353810586
110,2020,"4M",7820,"business","EZE","MIA",1,"USD",2600,-34.8222,-58.5358,"AR",25.79319954,-80.29060364,"US",7126.889685,0.364815525
111,2020,"4M",7821,"business","MIA","EZE",1,"USD",2600,25.79319954,-80.29060364,"US",-34.8222,-58.5358,"AR",7126.889685,0.364815525
